r_cm,z_cm,ne_cm3,Te_eV,nF_cm3,P_ind_kW_m3,alpha
9.672215e+00,4.762930e+00,2.964637e+09,2.143827e+00,1.371126e+13,3.148290e-01,7.952724e+01
9.672215e+00,5.688405e+00,3.627568e+09,2.272619e+00,1.456425e+13,6.300588e-01,6.869475e+01
9.672215e+00,6.673277e+00,4.404302e+09,2.444618e+00,1.559010e+13,1.245611e+00,5.955260e+01
9.672215e+00,7.700577e+00,5.313952e+09,2.668561e+00,1.677437e+13,2.438876e+00,5.160014e+01
9.672215e+00,8.750000e+00,6.377308e+09,2.952245e+00,1.807323e+13,4.722678e+00,4.455457e+01
9.672215e+00,9.799423e+00,7.545131e+09,3.300394e+00,1.940634e+13,8.923235e+00,3.860279e+01
9.672215e+00,1.082672e+01,8.685107e+09,3.711872e+00,2.065921e+13,1.614706e+01,3.393962e+01
9.672215e+00,1.181160e+01,9.559359e+09,4.177258e+00,2.170047e+13,2.736579e+01,3.076467e+01
9.672215e+00,1.273707e+01,9.845165e+09,4.471186e+00,2.241318e+13,4.280731e+01,2.937521e+01
9.672215e+00,1.359049e+01,9.412639e+09,4.475532e+00,2.278325e+13,6.130891e+01,2.985642e+01
9.672215e+00,1.436388e+01,8.470252e+09,4.477749e+00,2.291065e+13,7.936188e+01,3.201299e+01
9.672215e+00,1.505375e+01,7.227661e+09,4.478793e+00,2.289171e+13,9.128227e+01,3.612695e+01
9.672215e+00,1.566048e+01,5.862631e+09,4.479139e+00,2.280394e+13,8.901091e+01,4.299992e+01
9.672215e+00,1.618748e+01,4.506186e+09,4.479139e+00,2.270065e+13,6.646765e+01,5.433749e+01
9.672215e+00,1.664030e+01,3.241731e+09,4.479139e+00,2.261233e+13,2.951150e+01,7.394406e+01
9.672215e+00,1.702576e+01,2.112930e+09,4.479139e+00,2.255187e+13,6.704241e+00,1.119713e+02
9.672215e+00,1.735128e+01,1.135017e+09,4.479139e+00,2.252086e+13,3.707876e-01,2.072233e+02
1.084175e+01,1.487201e-01,1.796676e+08,1.855151e+00,1.021254e+13,1.224045e-05,9.674914e+02
1.084175e+01,4.742405e-01,3.373097e+08,1.857282e+00,1.028747e+13,2.343935e-04,5.177915e+02
1.084175e+01,8.597004e-01,5.247567e+08,1.862822e+00,1.039325e+13,1.207383e-03,3.365019e+02
1.084175e+01,1.312518e+00,7.467258e+08,1.873551e+00,1.054102e+13,4.063460e-03,2.409710e+02
1.084175e+01,1.839522e+00,1.008581e+09,1.891884e+00,1.074488e+13,1.105193e-02,1.834606e+02
1.084175e+01,2.446252e+00,1.316517e+09,1.921000e+00,1.102200e+13,2.652965e-02,1.458965e+02
1.084175e+01,3.136121e+00,1.677816e+09,1.964965e+00,1.139223e+13,5.888588e-02,1.198513e+02
1.084175e+01,3.909510e+00,2.101170e+09,2.028836e+00,1.187693e+13,1.243565e-01,1.008307e+02
1.084175e+01,4.762930e+00,2.597002e+09,2.118716e+00,1.249673e+13,2.546278e-01,8.622583e+01
1.084175e+01,5.688405e+00,3.177676e+09,2.241740e+00,1.326764e+13,5.118401e-01,7.446068e+01
1.084175e+01,6.673277e+00,3.857466e+09,2.405883e+00,1.419540e+13,1.017378e+00,6.458459e+01
1.084175e+01,7.700577e+00,4.652191e+09,2.619437e+00,1.526810e+13,2.004536e+00,5.604060e+01
1.084175e+01,8.750000e+00,5.578581e+09,2.889869e+00,1.644825e+13,3.908301e+00,4.850769e+01
1.084175e+01,9.799423e+00,6.604219e+09,3.221829e+00,1.766646e+13,7.449543e+00,4.209825e+01
1.084175e+01,1.082672e+01,7.621542e+09,3.614448e+00,1.882283e+13,1.362179e+01,3.702422e+01
1.084175e+01,1.181160e+01,8.436009e+09,4.058835e+00,1.980133e+13,2.337923e+01,3.348191e+01
1.084175e+01,1.273707e+01,8.782525e+09,4.469484e+00,2.049768e+13,3.696910e+01,3.173319e+01
1.084175e+01,1.359049e+01,8.462720e+09,4.474808e+00,2.086949e+13,5.412605e+01,3.208962e+01
1.084175e+01,1.436388e+01,7.655615e+09,4.477349e+00,2.100583e+13,7.361802e+01,3.429622e+01
1.084175e+01,1.505375e+01,6.555082e+09,4.478673e+00,2.099783e+13,9.593452e+01,3.862452e+01
1.084175e+01,1.566048e+01,5.328765e+09,4.479139e+00,2.092029e+13,1.239909e+02,4.591468e+01
1.084175e+01,1.618748e+01,4.101396e+09,4.479139e+00,2.082527e+13,1.626409e+02,5.797691e+01
1.084175e+01,1.664030e+01,2.952900e+09,4.479139e+00,2.074288e+13,8.354070e+01,7.886170e+01
1.084175e+01,1.702576e+01,1.925520e+09,4.479139e+00,2.068613e+13,1.498192e+01,1.193883e+02
1.084175e+01,1.735128e+01,1.034542e+09,4.479130e+00,2.065699e+13,7.643617e-01,2.209246e+02
1.206440e+01,1.487201e-01,1.509350e+08,1.840850e+00,9.127049e+12,8.412757e-06,1.000000e+03
1.206440e+01,4.742405e-01,2.834353e+08,1.842862e+00,9.193631e+12,1.611606e-04,5.851925e+02
1.206440e+01,8.597004e-01,4.409650e+08,1.848091e+00,9.287349e+12,8.304398e-04,3.799932e+02
1.206440e+01,1.312518e+00,6.274726e+08,1.858215e+00,9.417974e+12,2.796264e-03,2.717775e+02
1.206440e+01,1.839522e+00,8.474405e+08,1.875507e+00,9.597852e+12,7.611414e-03,2.065669e+02
1.206440e+01,2.446252e+00,1.106027e+09,1.902948e+00,9.841982e+12,1.829291e-02,1.639412e+02
1.206440e+01,3.136121e+00,1.409263e+09,1.944335e+00,1.016767e+13,4.067432e-02,1.343908e+02
1.206440e+01,3.909510e+00,1.764277e+09,2.004356e+00,1.059350e+13,8.610387e-02,1.128497e+02
1.206440e+01,4.762930e+00,2.179466e+09,2.088617e+00,1.113729e+13,1.768620e-01,9.637776e+01
1.206440e+01,5.688405e+00,2.664494e+09,2.203592e+00,1.181277e+13,3.569320e-01,8.319437e+01
1.206440e+01,6.673277e+00,3.229927e+09,2.356413e+00,1.262468e+13,7.128056e-01,7.221907e+01
1.206440e+01,7.700577e+00,3.886335e+09,2.554366e+00,1.356269e+13,1.411635e+00,6.281381e+01
1.206440e+01,8.750000e+00,4.642799e+09,2.803847e+00,1.459495e+13,2.765526e+00,5.461014e+01
1.206440e+01,9.799423e+00,5.480760e+09,3.108523e+00,1.566342e+13,5.302769e+00,4.759234e+01
1.206440e+01,1.082672e+01,6.317178e+09,3.466706e+00,1.668523e+13,9.752505e+00,4.199350e+01
1.206440e+01,1.181160e+01,7.006697e+09,3.868500e+00,1.756492e+13,1.678750e+01,3.800222e+01
1.206440e+01,1.273707e+01,7.356588e+09,4.293957e+00,1.821764e+13,2.630214e+01,3.583451e+01
1.206440e+01,1.359049e+01,7.188191e+09,4.472392e+00,1.859676e+13,3.684042e+01,3.586098e+01
1.206440e+01,1.436388e+01,6.558265e+09,4.475574e+00,1.874976e+13,4.519920e+01,3.811315e+01
1.206440e+01,1.505375e+01,5.645254e+09,4.477125e+00,1.876151e+13,4.735508e+01,4.279680e+01
1.206440e+01,1.566048e+01,4.604293e+09,4.477858e+00,1.870278e+13,4.086781e+01,5.079961e+01
1.206440e+01,1.618748e+01,3.550943e+09,4.478085e+00,1.862324e+13,2.696294e+01,6.410289e+01
1.206440e+01,1.664030e+01,2.559593e+09,4.478069e+00,1.855202e+13,1.130956e+01,8.717304e+01
1.206440e+01,1.702576e+01,1.670110e+09,4.477990e+00,1.850220e+13,2.549680e+00,1.319600e+02
1.206440e+01,1.735128e+01,8.975564e+08,4.477944e+00,1.847639e+13,1.409338e-01,2.441813e+02
1.333290e+01,1.487201e-01,1.196827e+08,1.826732e+00,7.947031e+12,4.703738e-06,1.000000e+03
1.333290e+01,4.742405e-01,2.248186e+08,1.828611e+00,8.004544e+12,9.015153e-05,6.965833e+02
1.333290e+01,8.597004e-01,3.497814e+08,1.833492e+00,8.085189e+12,4.646942e-04,4.518305e+02
1.333290e+01,1.312518e+00,4.976774e+08,1.842939e+00,8.197242e+12,1.565420e-03,3.226180e+02
1.333290e+01,1.839522e+00,6.720182e+08,1.859061e+00,8.351139e+12,4.264018e-03,2.446482e+02
1.333290e+01,2.446252e+00,8.768179e+08,1.884615e+00,8.559527e+12,1.025879e-02,1.936247e+02
1.333290e+01,3.136121e+00,1.116720e+09,1.923079e+00,8.836926e+12,2.284558e-02,1.582498e+02
1.333290e+01,3.909510e+00,1.397116e+09,1.978698e+00,9.198803e+12,4.846514e-02,1.325146e+02
1.333290e+01,4.762930e+00,1.724170e+09,2.056462e+00,9.659783e+12,9.983001e-02,1.129330e+02
1.333290e+01,5.688405e+00,2.104598e+09,2.161998e+00,1.023077e+13,2.021838e-01,9.738838e+01
1.333290e+01,6.673277e+00,2.544994e+09,2.301316e+00,1.091490e+13,4.054783e-01,8.458878e+01
1.333290e+01,7.700577e+00,3.050439e+09,2.480308e+00,1.170263e+13,8.068330e-01,7.376603e+01
1.333290e+01,8.750000e+00,3.622183e+09,2.703846e+00,1.256692e+13,1.588411e+00,6.448015e+01
1.333290e+01,9.799423e+00,4.250106e+09,2.974302e+00,1.346047e+13,3.069118e+00,5.653529e+01
1.333290e+01,1.082672e+01,4.873530e+09,3.289534e+00,1.431773e+13,5.711500e+00,5.018126e+01
1.333290e+01,1.181160e+01,5.392484e+09,3.640742e+00,1.506528e+13,1.001288e+01,4.560110e+01
1.333290e+01,1.273707e+01,5.681763e+09,4.011026e+00,1.563989e+13,1.613990e+01,4.297134e+01
1.333290e+01,1.359049e+01,5.631959e+09,4.375604e+00,1.600850e+13,2.331490e+01,4.255387e+01
1.333290e+01,1.436388e+01,5.204038e+09,4.472730e+00,1.618024e+13,2.972319e+01,4.483225e+01
1.333290e+01,1.505375e+01,4.514442e+09,4.475112e+00,1.621807e+13,3.242618e+01,5.013241e+01
1.333290e+01,1.566048e+01,3.699437e+09,4.476199e+00,1.618568e+13,2.900827e+01,5.941018e+01
1.333290e+01,1.618748e+01,2.861213e+09,4.476599e+00,1.612851e+13,1.967773e+01,7.494150e+01
1.333290e+01,1.664030e+01,2.065819e+09,4.476605e+00,1.607377e+13,8.370591e+00,1.019271e+02
1.333290e+01,1.702576e+01,1.349119e+09,4.476507e+00,1.603425e+13,1.896373e+00,1.543276e+02
1.333290e+01,1.735128e+01,7.253136e+08,4.476444e+00,1.601332e+13,1.049690e-01,2.856059e+02
1.463866e+01,1.487201e-01,8.684613e+07,1.814349e+00,6.696664e+12,1.926081e-06,1.000000e+03
1.463866e+01,4.742405e-01,1.632058e+08,1.816100e+00,6.744629e+12,3.693729e-05,9.050440e+02
1.463866e+01,8.597004e-01,2.539272e+08,1.820646e+00,6.811580e+12,1.904541e-04,5.862333e+02
1.463866e+01,1.312518e+00,3.612393e+08,1.829443e+00,6.904255e+12,6.418051e-04,4.176992e+02
1.463866e+01,1.839522e+00,4.876488e+08,1.844441e+00,7.031136e+12,1.749133e-03,3.158216e+02
1.463866e+01,2.446252e+00,6.359980e+08,1.868173e+00,7.202452e+12,4.211758e-03,2.490476e+02
1.463866e+01,3.136121e+00,8.095315e+08,1.903805e+00,7.429875e+12,9.390986e-03,2.027317e+02
1.463866e+01,3.909510e+00,1.011933e+09,1.955135e+00,7.725691e+12,1.995730e-02,1.690989e+02
1.463866e+01,4.762930e+00,1.247253e+09,2.026519e+00,8.101254e+12,4.120570e-02,1.436400e+02
1.463866e+01,5.688405e+00,1.519586e+09,2.122695e+00,8.564573e+12,8.370702e-02,1.236093e+02
1.463866e+01,6.673277e+00,1.832307e+09,2.248461e+00,9.117028e+12,1.685128e-01,1.073180e+02
1.463866e+01,7.700577e+00,2.186656e+09,2.408162e+00,9.749592e+12,3.368909e-01,9.375053e+01
1.463866e+01,8.750000e+00,2.579569e+09,2.604914e+00,1.043951e+13,6.671990e-01,8.232021e+01
1.463866e+01,9.799423e+00,3.000963e+09,2.839556e+00,1.114907e+13,1.301082e+00,7.269412e+01
1.463866e+01,1.082672e+01,3.413354e+09,3.109527e+00,1.182841e+13,2.465977e+00,6.501047e+01
1.463866e+01,1.181160e+01,3.752023e+09,3.408159e+00,1.242410e+13,4.477553e+00,5.949840e+01
1.463866e+01,1.273707e+01,3.942541e+09,3.725080e+00,1.289243e+13,7.716835e+00,5.633019e+01
1.463866e+01,1.359049e+01,3.924341e+09,4.047950e+00,1.321205e+13,1.262247e+01,5.574409e+01
1.463866e+01,1.436388e+01,3.676062e+09,4.364490e+00,1.338936e+13,1.980354e+01,5.820319e+01
1.463866e+01,1.505375e+01,3.224969e+09,4.472841e+00,1.345334e+13,3.057249e+01,6.467641e+01
1.463866e+01,1.566048e+01,2.660288e+09,4.475358e+00,1.345077e+13,4.692246e+01,7.649336e+01
1.463866e+01,1.618748e+01,2.065635e+09,4.476500e+00,1.342049e+13,7.078546e+01,9.648582e+01
1.463866e+01,1.664030e+01,1.494739e+09,4.476349e+00,1.338613e+13,3.779048e+01,1.313155e+02
1.463866e+01,1.702576e+01,9.773003e+08,4.475781e+00,1.335956e+13,6.716661e+00,1.989533e+02
1.463866e+01,1.735128e+01,5.256569e+08,4.475446e+00,1.334476e+13,3.411048e-01,3.683247e+02
1.597193e+01,1.487201e-01,5.350647e+07,1.805248e+00,5.405054e+12,4.454885e-07,1.000000e+03
1.597193e+01,4.742405e-01,1.006094e+08,1.806897e+00,5.443260e+12,8.549685e-06,1.000000e+03
1.597193e+01,8.597004e-01,1.565313e+08,1.811182e+00,5.496337e+12,4.409222e-05,9.023264e+02
1.597193e+01,1.312518e+00,2.226282e+08,1.819468e+00,5.569522e+12,1.486059e-04,6.414239e+02
1.597193e+01,1.839522e+00,3.004196e+08,1.833583e+00,5.669390e+12,4.051064e-04,4.833989e+02
1.597193e+01,2.446252e+00,3.916170e+08,1.855881e+00,5.803842e+12,9.759431e-04,3.796319e+02
1.597193e+01,3.136121e+00,4.981499e+08,1.889277e+00,5.981819e+12,2.177851e-03,3.075994e+02
1.597193e+01,3.909510e+00,6.221622e+08,1.937206e+00,6.212602e+12,4.633920e-03,2.553638e+02
1.597193e+01,4.762930e+00,7.659179e+08,2.003501e+00,6.504533e+12,9.583749e-03,2.160027e+02
1.597193e+01,5.688405e+00,9.315194e+08,2.092152e+00,6.863059e+12,1.951158e-02,1.852867e+02
1.597193e+01,6.673277e+00,1.120303e+09,2.206908e+00,7.288181e+12,3.938647e-02,1.605929e+02
1.597193e+01,7.700577e+00,1.331772e+09,2.350713e+00,7.771667e+12,7.899592e-02,1.403255e+02
1.597193e+01,8.750000e+00,1.562036e+09,2.524948e+00,8.294912e+12,1.570033e-01,1.235545e+02
1.597193e+01,9.799423e+00,1.801937e+09,2.728534e+00,8.828729e+12,3.071391e-01,1.097645e+02
1.597193e+01,1.082672e+01,2.031713e+09,2.957114e+00,9.336410e+12,5.845001e-01,9.886587e+01
1.597193e+01,1.181160e+01,2.213644e+09,3.202629e+00,9.780580e+12,1.062308e+00,9.124707e+01
1.597193e+01,1.273707e+01,2.307459e+09,3.453591e+00,1.013253e+13,1.808765e+00,8.718137e+01
1.597193e+01,1.359049e+01,2.283278e+09,3.695949e+00,1.038000e+13,2.824655e+00,8.703534e+01
1.597193e+01,1.436388e+01,2.134116e+09,3.914202e+00,1.052943e+13,3.942374e+00,9.148595e+01
1.597193e+01,1.505375e+01,1.879951e+09,4.092833e+00,1.060175e+13,4.749092e+00,1.018102e+02
1.597193e+01,1.566048e+01,1.560626e+09,4.219157e+00,1.062405e+13,4.689699e+00,1.203406e+02
1.597193e+01,1.618748e+01,1.217860e+09,4.289029e+00,1.062045e+13,3.461909e+00,1.518032e+02
1.597193e+01,1.664030e+01,8.840255e+08,4.312682e+00,1.060777e+13,1.533871e+00,2.067579e+02
1.597193e+01,1.702576e+01,5.789682e+08,4.315762e+00,1.059550e+13,3.510356e-01,3.135070e+02
1.597193e+01,1.735128e+01,3.116094e+08,4.315010e+00,1.058762e+13,1.947150e-02,5.806862e+02
1.732208e+01,1.487201e-01,2.075407e+07,1.800544e+00,4.103405e+12,1.847594e-08,1.000000e+03
1.732208e+01,4.742405e-01,3.904062e+07,1.802139e+00,4.131917e+12,3.547758e-07,1.000000e+03
1.732208e+01,8.597004e-01,6.071358e+07,1.806283e+00,4.171375e+12,1.828983e-06,1.000000e+03
1.732208e+01,1.312518e+00,8.629720e+07,1.814292e+00,4.225616e+12,6.161596e-06,1.000000e+03
1.732208e+01,1.839522e+00,1.163789e+08,1.827928e+00,4.299450e+12,1.679203e-05,1.000000e+03
1.732208e+01,2.446252e+00,1.516175e+08,1.849449e+00,4.398639e+12,4.045240e-05,9.403910e+02
1.732208e+01,3.136121e+00,1.927482e+08,1.881629e+00,4.529659e+12,9.029428e-05,7.591295e+02
1.732208e+01,3.909510e+00,2.405742e+08,1.927703e+00,4.699149e+12,1.922324e-04,6.277628e+02
1.732208e+01,4.762930e+00,2.959179e+08,1.991214e+00,4.912926e+12,3.979167e-04,5.290565e+02
1.732208e+01,5.688405e+00,3.594923e+08,2.075723e+00,5.174506e+12,8.110547e-04,4.524472e+02
1.732208e+01,6.673277e+00,4.316356e+08,2.184376e+00,5.483224e+12,1.639443e-03,3.913418e+02
1.732208e+01,7.700577e+00,5.118533e+08,2.319278e+00,5.832282e+12,3.292693e-03,3.416940e+02
1.732208e+01,8.750000e+00,5.981591e+08,2.480717e+00,6.207422e+12,6.549895e-03,3.011325e+02
1.732208e+01,9.799423e+00,6.863008e+08,2.666290e+00,6.587211e+12,1.280152e-02,2.683676e+02
1.732208e+01,1.082672e+01,7.691267e+08,2.870186e+00,6.945777e+12,2.426884e-02,2.428035e+02
1.732208e+01,1.181160e+01,8.325363e+08,3.082979e+00,7.258026e+12,4.360645e-02,2.254184e+02
1.732208e+01,1.273707e+01,8.620247e+08,3.292312e+00,7.505991e+12,7.223841e-02,2.169676e+02
1.732208e+01,1.359049e+01,8.476882e+08,3.484639e+00,7.683398e+12,1.067571e-01,2.184372e+02
1.732208e+01,1.436388e+01,7.883936e+08,3.647831e+00,7.796114e+12,1.354391e-01,2.315860e+02
1.732208e+01,1.505375e+01,6.924435e+08,3.774052e+00,7.858348e+12,1.412373e-01,2.596831e+02
1.732208e+01,1.566048e+01,5.740406e+08,3.861854e+00,7.886888e+12,1.152142e-01,3.088837e+02
1.732208e+01,1.618748e+01,4.478210e+08,3.916223e+00,7.896276e+12,6.905591e-02,3.915215e+02
1.732208e+01,1.664030e+01,3.251530e+08,3.946078e+00,7.896683e+12,2.767089e-02,5.350138e+02
1.732208e+01,1.702576e+01,2.130262e+08,3.960483e+00,7.894034e+12,6.257503e-03,8.128539e+02
1.732208e+01,1.735128e+01,1.146621e+08,3.965804e+00,7.891179e+12,3.469486e-04,1.000000e+03
